name,temp,gdp_pp,population
burkina faso,28.25,1884.0,19193382.0
mali,28.25,2169.0,18541980.0
djibouti,28.0,3567.0,956985.0
senegal,27.85,2678.0,15850567.0
mauritania,27.65,4474.0,4420184.0
maldives,27.65,19178.0,436330.0
benin,27.55,2219.0,11175692.0
gambia,27.5,1686.0,2100568.0
ghana,27.2,4605.0,28833629.0
bahrain,27.15,51846.0,1492584.0
niger,27.15,1153.0,21477348.0
qatar,27.15,124927.0,2639211.0
seychelles,27.15,28712.0,94737.0
togo,27.15,1612.0,7797694.0
somalia,27.05,,14742523.0
united arab emirates,27.0,68245.0,9400145.0
sri lanka,26.95,13001.0,20876917.0
sudan,26.9,4580.0,40533330.0
brunei darussalam,26.85,76743.0,428697.0
cambodia,26.8,4010.0,16005373.0
nigeria,26.8,5927.0,190886311.0
st vincent and the grenadines,26.8,11623.0,109897.0
guinea-bissau,26.75,1806.0,1861283.0
samoa,26.7,5737.0,196440.0
grenada,26.65,14779.0,107825.0
chad,26.55,2433.0,14899994.0
singapore,26.45,90531.0,5708844.0
côte d'ivoire,26.35,3857.0,24294750.0
thailand,26.3,17786.0,69037513.0
sierra leone,26.05,1791.0,7557212.0
antigua and barbuda,26.0,26198.0,102012.0
barbados,26.0,17508.0,285719.0
guyana,26.0,8266.0,777859.0
indonesia,25.85,12378.0,263991379.0
philippines,25.85,8229.0,104918090.0
trinidad and tobago,25.75,31154.0,1369125.0
guinea,25.7,2039.0,12717176.0
suriname,25.7,13876.0,563402.0
solomon islands,25.65,2145.0,611343.0
oman,25.6,45464.0,4636262.0
comoros,25.55,1560.0,813912.0
eritrea,25.5,1434.0,5068831.0
st lucia,25.5,13579.0,178844.0
malaysia,25.4,28871.0,31624264.0
panama,25.4,24262.0,4098587.0
belize,25.3,8341.0,374681.0
kuwait,25.35,69669.0,4136528.0
venezuela,25.35,12388.0,31977065.0
liberia,25.3,867.0,4731906.0
timor-leste,25.25,5008.0,1296311.0
papua new guinea,25.25,3803.0,8251162.0
tonga,25.25,5605.0,108020.0
cuba,25.2,,11484636.0
gabon,25.05,19266.0,2025137.0
bangladesh,25.0,4561.0,164669751.0
brazil,24.95,15500.0,209288278.0
jamaica,24.95,9212.0,2890299.0
central african republic,24.9,681.0,4659080.0
haiti,24.9,1810.0,10981229.0
vietnam,24.45,6876.0,95540800.0
nicaragua,24.9,5823.0,6217581.0
bahamas,24.85,25080.0,395361.0
costa rica,24.8,17149.0,4905769.0
kenya,24.75,3496.0,49699862.0
saudi arabia,24.65,55263.0,32938213.0
cameroon,24.6,3359.0,24053727.0
congo,24.55,6707.0,5260750.0
dominican republic,24.55,16965.0,10766998.0
equatorial guinea,24.55,34865.0,1267689.0
colombia,24.5,14455.0,49065615.0
st kitts and nevis,24.5,26849.0,55345.0
el salvador,24.45,8934.0,6377853.0
fiji,24.4,9857.0,905502.0
congo dr,24.0,785.0,81339988.0
vanuatu,23.95,2780.0,276244.0
yemen,23.85,2300.0,28250420.0
mozambique,23.8,1266.0,29668834.0
são tomé e príncipe,23.75,3208.0,204327.0
india,23.65,7174.0,1339180127.0
paraguay,23.55,9785.0,6811297.0
honduras,23.5,5499.0,9265067.0
guatemala,23.45,8173.0,16913503.0
cape verde islands,23.3,6942.0,546388.0
laos,22.8,7367.0,6858160.0
uganda,22.8,2352.0,42862958.0
madagascar,22.65,1554.0,25570895.0
algeria,22.5,15150.0,41318142.0
mauritius,22.4,21628.0,1265138.0
dominica,22.35,12035.0,73925.0
tanzania,22.35,3283.0,57310019.0
ethiopia,22.2,2113.0,104957438.0
egypt,22.1,12994.0,97553151.0
malawi,21.9,1172.0,18622104.0
ecuador,21.85,11234.0,16624858.0
