home_win,home_cur_year_avg_weighted,home_total_points,away_cur_year_avg_weighted,away_total_points,home_last_year_avg,away_last_year_avg,home_two_year_ago_avg,away_two_year_ago_avg,CAF,CONCACAF,CONMEBOL,OFC,UEFA,gdp_pp_diff,rank_diff
0,174.7,291.66,343.17,535.63,102.82,152.19,163.78,266.37,0,0,0,0,0,39359.0,45
1,101.66,249.49,122.76,393.28,166.27,343.17,106.47,152.19,0,0,0,0,0,39359.0,41
2,151.41,289.46,257.72,436.97,131.81,102.61,151.92,242.16,0,0,0,0,0,39359.0,47
2,111.05,256.68,90.43,298.5,151.41,257.72,131.81,102.61,0,0,0,0,0,39359.0,16
1,140.16,324.85,343.17,535.63,183.57,152.19,225.79,266.37,0,0,0,0,0,112440.0,38
2,278.95,440.17,303.77,504.25,150.54,152.19,217.98,244.24,0,0,0,0,0,32977.0,7
2,153.61,323.0,213.37,386.54,121.13,123.7,225.48,198.81,0,0,0,0,0,32977.0,24
0,88.37,151.5,303.77,504.25,65.38,152.19,85.49,244.24,0,0,0,0,0,78044.0,77
2,103.09,208.36,257.72,436.97,80.75,102.61,115.75,242.16,0,0,0,0,0,6999.0,70
1,109.65,277.94,109.69,311.21,157.68,257.18,218.68,61.72,0,0,0,0,0,4517.0,11
1,253.52,505.85,234.41,413.65,272.38,102.88,259.19,310.32,0,0,0,0,0,37395.0,-15
1,574.37,1137.04,268.07,510.48,684.51,250.0,603.97,229.52,0,0,1,0,0,1968.0,-55
1,240.51,563.27,90.26,345.62,208.37,303.77,396.79,152.19,0,0,0,0,0,30172.0,-39
1,109.26,338.56,72.95,325.5,300.69,315.86,137.05,173.52,0,0,0,0,0,42776.0,-2
1,203.43,302.14,273.3,434.37,124.95,60.71,58.34,268.07,0,0,0,0,0,5299.0,37
1,230.05,527.84,242.16,500.14,316.34,292.74,307.7,228.61,0,0,0,0,0,-5497.0,-5
1,167.67,454.13,122.76,393.28,271.29,343.17,297.53,152.19,0,0,0,0,0,-5497.0,-7
1,379.95,617.47,121.19,331.55,226.5,201.88,192.07,183.98,0,0,0,0,0,-5497.0,-56
2,98.32,235.2,109.69,318.16,176.38,273.3,82.51,60.71,0,0,0,0,0,-5611.0,22
2,54.19,146.79,121.06,304.61,105.48,213.37,69.82,123.7,0,0,0,0,0,-10598.0,48
0,174.07,268.29,90.26,345.62,93.17,303.77,92.72,152.19,0,0,0,0,0,-11806.0,22
1,195.08,276.77,201.88,410.81,71.61,167.52,152.96,279.99,0,0,0,0,0,-8835.0,42
1,197.89,369.32,183.98,434.31,126.93,271.11,148.63,205.87,0,0,0,0,1,18986.0,14
2,149.69,334.3,242.16,500.14,123.67,292.74,233.63,228.61,0,0,0,0,0,4137.0,41
0,49.73,173.15,60.71,315.65,68.63,268.07,184.73,250.0,0,0,0,0,0,-9356.0,36
0,310.19,584.83,223.12,398.14,222.65,97.78,383.01,318.96,1,0,0,0,0,507.0,-28
1,142.29,393.31,122.76,393.28,316.78,343.17,242.45,152.19,0,0,0,0,0,55758.0,0
0,256.74,516.74,273.3,434.37,255.66,60.71,255.3,268.07,0,0,0,0,0,55758.0,-10
2,69.45,179.46,109.69,318.16,176.18,273.3,58.76,60.71,0,0,0,0,0,48529.0,39
0,44.13,109.64,123.53,281.49,81.73,121.19,57.86,201.88,0,0,0,0,0,-8477.0,57
0,64.02,95.19,102.61,355.73,18.06,250.18,68.08,278.65,0,0,0,0,0,-7926.0,82
2,174.7,291.66,172.78,314.94,102.82,95.79,163.78,187.73,0,0,0,0,0,-17823.0,5
2,155.88,282.39,0.0,52.3,117.3,0.0,158.43,112.02,0,0,0,0,0,-17823.0,-73
1,140.16,324.85,172.78,314.94,183.57,95.79,225.79,187.73,0,0,0,0,0,55258.0,-2
1,131.6,346.36,99.32,241.16,241.76,153.51,161.15,95.79,0,0,0,0,0,-24205.0,-32
0,49.3,188.29,79.23,218.23,124.4,122.28,130.98,121.34,0,0,0,0,0,-50183.0,10
0,227.04,393.1,111.62,260.89,118.8,148.5,209.46,127.58,0,0,0,0,0,-52665.0,-39
2,164.5,320.35,93.48,246.16,94.48,172.78,174.63,95.79,0,0,0,0,0,-52665.0,-21
1,444.24,728.87,150.84,298.57,242.98,100.42,316.86,217.06,0,0,0,0,0,-49639.0,-71
1,47.49,328.54,99.32,241.16,237.59,153.51,246.99,95.79,0,0,0,0,0,-19787.0,-25
0,198.81,449.69,100.68,249.9,258.36,148.75,236.57,125.99,0,0,0,0,0,-57182.0,-55
2,198.81,449.69,100.68,249.9,258.36,148.75,236.57,125.99,0,0,0,0,0,-57182.0,-55
2,60.71,315.65,79.23,218.23,268.07,122.28,250.0,121.34,0,0,0,0,0,-57182.0,-22
1,141.91,275.5,36.04,100.74,97.36,0.0,234.41,157.73,0,0,0,0,0,-57182.0,-56
2,54.18,155.75,128.87,282.64,93.67,121.34,124.15,207.26,0,0,0,0,0,-51883.0,35
1,47.45,157.42,125.04,251.63,121.67,108.79,100.73,148.5,0,0,0,0,0,-63384.0,28
0,51.82,91.94,100.38,235.14,39.56,130.43,67.81,120.86,0,0,0,0,0,-62302.0,47
1,149.69,334.3,130.43,280.26,123.67,120.86,233.63,185.02,0,0,0,0,0,-53045.0,-14
2,171.15,412.54,111.62,260.89,328.17,148.5,179.55,127.58,0,0,0,0,0,-1424.0,-41
0,0.0,168.06,111.62,260.89,102.2,148.5,317.68,127.58,0,0,0,0,0,-68988.0,28
2,174.61,304.53,178.88,356.97,132.87,115.67,131.91,273.75,0,0,0,0,0,34842.0,14
2,155.88,282.39,288.23,437.62,117.3,91.69,158.43,235.5,0,0,0,0,0,34842.0,36
1,255.0,424.52,175.19,354.5,175.53,205.01,186.94,178.88,0,0,0,0,0,107923.0,-20
0,80.75,223.42,205.01,386.12,115.75,178.88,150.85,115.67,0,0,0,0,0,2482.0,45
1,213.77,579.64,164.5,320.35,445.05,94.48,228.08,174.63,0,0,0,0,0,3026.0,-52
2,216.83,588.18,115.87,268.96,445.05,89.54,228.08,163.36,0,0,0,0,0,3026.0,-63
0,468.14,793.92,91.69,274.4,275.78,204.28,350.23,192.3,0,0,0,0,0,3026.0,-89
1,295.34,549.35,157.68,336.98,364.41,205.01,80.25,178.88,0,0,0,0,0,32878.0,-56
1,337.69,622.81,218.68,381.1,237.53,130.09,346.06,135.58,0,0,0,0,0,25655.0,-34
1,294.64,573.97,93.77,279.21,320.8,217.29,230.0,178.88,0,0,0,0,0,25655.0,-72
0,90.26,345.62,115.87,268.96,303.77,89.54,152.19,163.36,0,0,0,0,0,-4517.0,-21
1,123.7,347.93,217.29,396.18,198.81,178.88,258.36,115.67,0,0,0,0,0,-4517.0,14
2,121.19,331.55,121.59,313.95,201.88,200.98,183.98,227.04,0,0,0,0,0,-4517.0,-9
1,324.72,609.91,91.69,274.4,384.56,204.28,109.26,192.3,0,0,0,0,0,38259.0,-65
2,134.25,201.22,203.45,399.33,15.82,204.43,107.3,110.64,0,0,0,0,0,782.0,55
0,93.15,242.5,154.67,323.62,211.84,143.34,134.25,205.01,0,0,0,0,0,782.0,28
0,167.67,454.13,164.5,320.35,271.29,94.48,297.53,174.63,0,0,0,0,0,-10014.0,-29
2,167.67,454.13,164.5,320.35,271.29,94.48,297.53,174.63,0,0,0,0,0,-10014.0,-29
1,346.38,568.97,175.19,354.5,181.07,205.01,230.05,178.88,0,0,0,0,0,-10014.0,-43
2,96.99,186.7,217.29,396.18,122.15,178.88,38.22,115.67,0,0,0,0,0,-10128.0,64
2,30.64,58.28,178.88,356.97,0.0,115.67,54.18,273.75,0,0,0,0,0,-14704.0,94
1,191.91,487.02,115.87,268.96,226.44,89.54,308.12,163.36,0,0,0,0,0,22383.0,-45
1,171.15,412.54,227.04,393.1,328.17,118.8,179.55,209.46,0,0,0,0,0,51241.0,-2
1,258.77,513.46,121.59,313.95,275.43,200.98,171.15,227.04,0,0,0,0,0,51241.0,-43
2,175.93,308.34,0.0,168.06,143.12,102.2,125.74,317.68,0,0,0,0,0,51165.0,-44
0,131.81,281.94,149.72,240.07,151.92,0.0,132.87,123.7,0,0,0,0,0,51165.0,-12
1,206.42,368.52,0.0,168.06,143.46,102.2,152.71,317.68,0,0,0,0,0,124246.0,-60
2,171.06,374.16,142.07,306.53,239.06,290.04,170.23,53.78,0,0,0,0,0,124246.0,-26
2,477.21,697.81,133.36,287.82,219.34,229.83,240.77,131.82,1,0,0,0,0,1203.0,-69
1,172.67,280.02,109.69,258.5,129.55,199.45,63.41,163.6,0,0,0,0,0,18805.0,-9
1,64.83,268.54,16.51,190.99,163.04,210.59,278.15,174.04,0,0,0,0,0,16323.0,-22
2,157.68,336.98,260.31,354.43,205.01,138.76,178.88,0.0,0,0,0,0,0,16323.0,14
