Player,Country,Pos,Birthday,Age,Caps,Club,Club Country,year
Hugo Lloris,france,GK,1986-12-26,23,11,Lyon,france,2010
Bacary Sagna,france,DF,1983-02-14,27,20,Arsenal,england,2010
Éric Abidal,france,DF,1979-09-11,30,54,Barcelona,spain,2010
Anthony Réveillère,france,DF,1979-11-10,30,6,Lyon,france,2010
William Gallas,france,DF,1977-08-17,32,81,Arsenal,england,2010
Marc Planus,france,DF,1982-03-07,28,1,Bordeaux,france,2010
Franck Ribéry,france,MF,1983-04-07,27,45,Bayern Munich,germany,2010
Yoann Gourcuff,france,MF,1986-07-11,23,20,Bordeaux,france,2010
Djibril Cissé,france,FW,1981-08-12,28,39,Panathinaikos,greece,2010
Sidney Govou,france,FW,1979-07-27,30,46,Lyon,france,2010
André-Pierre Gignac,france,FW,1985-12-05,24,13,Toulouse,france,2010
Thierry Henry,france,FW,1977-08-17,32,121,Barcelona,spain,2010
Patrice Evra,france,DF,1981-05-15,29,30,Manchester United,england,2010
Jérémy Toulalan,france,MF,1983-09-10,26,34,Lyon,france,2010
Florent Malouda,france,MF,1980-06-13,29,54,Chelsea,england,2010
Steve Mandanda,france,GK,1985-03-28,25,13,Marseille,france,2010
Sébastien Squillaci,france,DF,1980-08-11,29,20,Sevilla,spain,2010
Alou Diarra,france,MF,1981-07-15,28,25,Bordeaux,france,2010
Abou Diaby,france,MF,1986-05-11,24,5,Arsenal,england,2010
Mathieu Valbuena,france,MF,1984-09-28,25,2,Marseille,france,2010
Nicolas Anelka,france,FW,1979-03-14,31,67,Chelsea,england,2010
Gaël Clichy,france,DF,1985-07-26,24,4,Arsenal,england,2010
Cédric Carrasso,france,GK,1981-12-30,28,0,Bordeaux,france,2010
Óscar Pérez,mexico,GK,1973-02-01,37,52,Chiapas,mexico,2010
Francisco Rodríguez,mexico,DF,1981-10-20,28,48,PSV Eindhoven,netherlands,2010
Carlos Salcido,mexico,DF,1980-04-02,30,73,PSV Eindhoven,netherlands,2010
Rafael Márquez,mexico,DF,1979-02-13,31,91,Barcelona,spain,2010
Ricardo Osorio,mexico,DF,1980-03-30,30,76,VfB Stuttgart,germany,2010
Gerardo Torrado,mexico,MF,1979-04-30,31,114,Cruz Azul,mexico,2010
Pablo Barrera,mexico,MF,1987-06-21,22,21,UNAM,mexico,2010
Israel Castro,mexico,MF,1980-12-29,29,31,UNAM,mexico,2010
Guillermo Franco,mexico,FW,1976-11-03,33,21,West Ham United,england,2010
Cuauhtémoc Blanco,mexico,FW,1973-01-17,37,115,Veracruz,mexico,2010
Carlos Vela,mexico,FW,1989-03-01,21,28,Arsenal,england,2010
Paul Aguilar,mexico,DF,1986-03-06,24,10,Pachuca,mexico,2010
Guillermo Ochoa,mexico,GK,1985-07-13,24,37,América,mexico,2010
Javier Hernández,mexico,FW,1988-06-01,22,12,Guadalajara,mexico,2010
Héctor Moreno,mexico,DF,1988-01-17,22,10,AZ,netherlands,2010
Efraín Juárez,mexico,DF,1988-02-22,22,19,UNAM,mexico,2010
Giovani dos Santos,mexico,FW,1989-05-11,21,26,Galatasaray,turkey,2010
Andrés Guardado,mexico,MF,1986-09-28,23,56,Deportivo La Coruña,spain,2010
Jonny Magallón,mexico,DF,1981-11-21,28,52,Guadalajara,mexico,2010
Jorge Torres Nilo,mexico,DF,1988-01-16,22,8,Atlas,mexico,2010
Adolfo Bautista,mexico,FW,1979-05-15,31,37,Guadalajara,mexico,2010
Alberto Medina,mexico,MF,1983-05-29,27,56,Guadalajara,mexico,2010
Luis Ernesto Michel,mexico,GK,1979-07-21,30,4,Guadalajara,mexico,2010
Moeneeb Josephs,south africa,GK,1980-05-19,30,17,Orlando Pirates,south africa,2010
Siboniso Gaxa,south africa,DF,1984-04-06,26,37,Mamelodi Sundowns,south africa,2010
Tsepo Masilela,south africa,DF,1985-05-05,25,31,Maccabi Haifa,israel,2010
Aaron Mokoena,south africa,DF,1980-11-25,29,101,Portsmouth,england,2010
Anele Ngcongca,south africa,DF,1987-10-20,22,5,Genk,belgium,2010
MacBeth Sibaya,south africa,MF,1977-11-25,32,58,Rubin Kazan,russia,2010
Lance Davids,south africa,MF,1985-04-11,25,22,Ajax Cape Town,south africa,2010
Siphiwe Tshabalala,south africa,MF,1984-09-25,25,48,Kaizer Chiefs,south africa,2010
Katlego Mphela,south africa,FW,1984-11-29,25,31,Mamelodi Sundowns,south africa,2010
Steven Pienaar,south africa,MF,1982-03-17,28,50,Everton,england,2010
Teko Modise,south africa,MF,1982-12-22,27,52,Orlando Pirates,south africa,2010
Reneilwe Letsholonyane,south africa,MF,1982-06-09,28,13,Kaizer Chiefs,south africa,2010
Kagisho Dikgacoi,south africa,MF,1984-11-24,25,37,Fulham,england,2010
Matthew Booth,south africa,DF,1977-03-14,33,27,Mamelodi Sundowns,south africa,2010
Lucas Thwala,south africa,DF,1981-10-19,28,24,Orlando Pirates,south africa,2010
Itumeleng Khune,south africa,GK,1987-06-20,22,27,Kaizer Chiefs,south africa,2010
Bernard Parker,south africa,FW,1986-03-16,24,28,Twente,netherlands,2010
Siyabonga Nomvethe,south africa,FW,1977-12-02,32,76,Moroka Swallows,south africa,2010
Surprise Moriri,south africa,MF,1980-03-20,30,34,Mamelodi Sundowns,south africa,2010
Bongani Khumalo,south africa,DF,1987-01-06,23,14,Supersport United,south africa,2010
Siyabonga Sangweni,south africa,DF,1981-09-29,28,8,Golden Arrows,south africa,2010
Shu-Aib Walters,south africa,GK,1981-12-26,28,0,Maritzburg United,south africa,2010
Thanduyise Khuboni,south africa,MF,1986-05-23,24,9,Golden Arrows,south africa,2010
Fernando Muslera,uruguay,GK,1986-06-16,23,6,Lazio,italy,2010
Diego Lugano,uruguay,DF,1980-11-02,29,42,Fenerbahçe,turkey,2010
Diego Godín,uruguay,DF,1986-02-16,24,38,Villarreal,spain,2010
Jorge Fucile,uruguay,DF,1984-11-19,25,24,Porto,portugal,2010
Walter Gargano,uruguay,MF,1984-07-23,25,28,Napoli,italy,2010
Mauricio Victorino,uruguay,DF,1982-10-11,27,4,Universidad de Chile,chile,2010
Edinson Cavani,uruguay,FW,1987-02-14,23,14,Palermo,italy,2010
Sebastián Eguren,uruguay,MF,1981-01-08,29,27,AIK,sweden,2010
Luis Suárez,uruguay,FW,1987-01-24,23,30,Ajax,netherlands,2010
Diego Forlán,uruguay,FW,1979-05-19,31,62,Atlético Madrid,spain,2010
Álvaro Pereira,uruguay,MF,1985-11-28,24,15,Porto,portugal,2010
Juan Castillo,uruguay,GK,1978-04-17,32,11,Deportivo Cali,colombia,2010
Sebastián Abreu,uruguay,FW,1976-10-17,33,56,Botafogo,brazil,2010
Nicolás Lodeiro,uruguay,MF,1989-03-21,21,4,Ajax,netherlands,2010
Diego Pérez,uruguay,MF,1980-05-18,30,50,Monaco,france,2010
Maxi Pereira,uruguay,DF,1984-06-08,26,37,Benfica,portugal,2010
Egidio Arévalo Ríos,uruguay,MF,1982-01-01,28,6,Peñarol,uruguay,2010
Ignacio González,uruguay,MF,1982-05-14,28,17,Levadiakos,greece,2010
Andrés Scotti,uruguay,DF,1974-12-14,35,26,Colo-Colo,chile,2010
Álvaro Fernández,uruguay,MF,1985-10-11,24,7,Universidad de Chile,chile,2010
Sebastián Fernández,uruguay,FW,1985-05-23,25,6,Banfield,argentina,2010
Martín Cáceres,uruguay,DF,1987-04-07,23,19,Sevilla,spain,2010
Martín Silva,uruguay,GK,1983-03-25,27,1,Defensor Sporting,uruguay,2010
Diego Pozo,argentina,GK,1978-02-16,32,3,Colón,argentina,2010
Martín Demichelis,argentina,DF,1980-12-20,29,25,Bayern Munich,germany,2010
Clemente Rodríguez,argentina,DF,1981-07-31,28,12,Estudiantes La Plata,argentina,2010
Nicolás Burdisso,argentina,DF,1981-04-12,29,29,Roma,italy,2010
Mario Bolatti,argentina,MF,1985-02-17,25,5,Fiorentina,italy,2010
Gabriel Heinze,argentina,DF,1978-04-19,32,64,Marseille,france,2010
Ángel Di María,argentina,MF,1988-02-14,22,8,Benfica,portugal,2010
Juan Sebastián Verón,argentina,MF,1975-03-09,35,70,Estudiantes La Plata,argentina,2010
Gonzalo Higuaín,argentina,FW,1987-12-10,22,5,Real Madrid,spain,2010
Lionel Messi,argentina,FW,1987-06-24,22,45,Barcelona,spain,2010
Carlos Tevez,argentina,FW,1984-02-05,26,54,Manchester City,england,2010
Ariel Garcé,argentina,DF,1979-07-14,30,4,Colón,argentina,2010
Walter Samuel,argentina,DF,1978-03-23,32,54,Internazionale,italy,2010
Javier Mascherano,argentina,MF,1984-06-08,26,57,Liverpool,england,2010
Nicolás Otamendi,argentina,DF,1988-02-12,22,7,Vélez Sársfield,argentina,2010
Sergio Agüero,argentina,FW,1988-06-02,22,22,Atlético Madrid,spain,2010
Jonás Gutiérrez,argentina,MF,1983-07-05,26,16,Newcastle United,england,2010
Martín Palermo,argentina,FW,1973-11-07,36,14,Boca Juniors,argentina,2010
Diego Milito,argentina,FW,1979-06-12,30,21,Internazionale,italy,2010
Maxi Rodríguez,argentina,MF,1981-01-02,29,36,Liverpool,england,2010
Mariano Andújar,argentina,GK,1983-07-30,26,4,Catania,italy,2010
Sergio Romero,argentina,GK,1987-02-22,23,6,AZ,netherlands,2010
