team,date,overall,attack,midfield,defence,prestige,start_age,full_age,bup_speed,bup_dribbling,bup_passing,cc_passing,cc_crossing,cc_shooting,d_pressure,d_aggresion,d_width,wage_euros_thousands,value_euros_millions,growth,goalkeeper_overall
Brazil,2018-11-15 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-11-13 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-11-05 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-11-01 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-29 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-25 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-23 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-22 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-18 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-15 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-11 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-09 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-04 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-10-01 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-09-27 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-09-24 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-09-20 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-08-21 00:00:00+00:00,81.0,84.0,80.0,80.0,10.0,29.64,29.48,52.0,74.0,51.0,61.0,44.0,68.0,75.0,54.0,64.0,43.869565217391305,15.795652173913044,0.043478260869565216,82.0
Brazil,2018-07-19 00:00:00+00:00,85.0,86.0,83.0,85.0,10.0,26.73,27.09,51.0,73.0,50.0,39.0,33.0,67.0,76.0,73.0,63.0,123.6086956521739,32.5,1.826086956521739,84.0
Brazil,2018-09-12 00:00:00+00:00,85.0,86.0,83.0,85.0,10.0,26.73,27.09,51.0,73.0,50.0,39.0,33.0,67.0,76.0,73.0,63.0,123.6086956521739,32.5,1.826086956521739,84.0
