team,date,attack,defence,full_age,midfield,overall,prestige,start_age
Brazil,15 Jul  2018,87.0,84.0,27.43,86.0,86.0,10.0,27.55
England,15 Jul  2018,83.0,80.0,25.88,81.0,81.0,8.0,24.64
Italy,15 Jul  2018,81.0,82.0,25.96,81.0,82.0,9.0,27.36
Spain,15 Jul  2018,84.0,85.0,27.18,86.0,85.0,9.0,27.27
France,15 Jul  2018,86.0,81.0,25.05,84.0,85.0,9.0,24.82
Germany,15 Jul  2018,85.0,85.0,24.9,85.0,86.0,10.0,26.55
Argentina,15 Jul  2018,86.0,80.0,27.63,81.0,84.0,9.0,28.45
Portugal,15 Jul  2018,85.0,82.0,26.68,83.0,84.0,8.0,26.64
Turkey,15 Jul  2018,79.0,76.0,27.04,77.0,76.0,6.0,26.45
Nigeria,15 Jul  2018,75.0,73.0,24.53,75.0,75.0,4.0,23.55
Denmark,15 Jul  2018,77.0,76.0,25.95,79.0,78.0,5.0,25.82
Russia,15 Jul  2018,80.0,77.0,27.3,78.0,79.0,6.0,27.91
Mexico,15 Jul  2018,81.0,75.0,27.6,78.0,79.0,7.0,27.09
Uruguay,15 Jul  2018,86.0,80.0,26.88,77.0,80.0,7.0,25.91
Greece,15 Jul  2018,75.0,77.0,26.04,74.0,75.0,6.0,28.09
Croatia,15 Jul  2018,80.0,78.0,25.76,82.0,80.0,6.0,27.91
Cameroon,15 Jul  2018,80.0,73.0,25.22,72.0,75.0,5.0,24.45
Serbia,15 Jul  2018,75.0,76.0,25.45,79.0,78.0,6.0,26.0
Australia,15 Jul  2018,69.0,70.0,26.73,72.0,72.0,5.0,26.55
Switzerland,15 Jul  2018,75.0,77.0,25.66,78.0,78.0,5.0,26.36
Sweden,15 Jul  2018,78.0,76.0,26.24,76.0,77.0,5.0,26.82
Republic of Ireland,15 Jul  2018,75.0,75.0,26.7,75.0,75.0,5.0,27.64
Korea Republic,15 Jul  2018,74.0,70.0,26.48,74.0,73.0,5.0,26.18
Belgium,15 Jul  2018,86.0,84.0,26.72,81.0,83.0,7.0,27.18
United States,15 Jul  2018,76.0,74.0,25.48,76.0,75.0,6.0,25.36
Norway,15 Jul  2018,74.0,72.0,24.91,73.0,73.0,4.0,24.64
Paraguay,15 Jul  2018,75.0,72.0,27.96,74.0,73.0,4.0,30.64
Ukraine,15 Jul  2018,73.0,70.0,26.0,72.0,76.0,14.0,25.82
Poland,15 Jul  2018,83.0,76.0,26.43,78.0,80.0,5.0,27.0
Bulgaria,15 Jul  2018,69.0,67.0,26.87,63.0,67.0,5.0,26.27
Finland,15 Jul  2018,70.0,66.0,26.17,69.0,70.0,3.0,24.55
Scotland,15 Jul  2018,75.0,74.0,25.83,74.0,74.0,4.0,26.36
Romania,15 Jul  2018,74.0,69.0,26.04,71.0,72.0,5.0,27.09
