Game,Group,Team,Opponent,Home/Away,Score,WDL,Pens?,Goals For,Goals Against,Pen Shootout For,Pen Shootout Against,Attempts,On-Target,Off-Target,Blocked,Woodwork,Corners,Offsides,Ball possession %,Pass Accuracy %,Passes,Passes Completed,Distance Covered km,Balls recovered,Tackles,Blocks,Clearances,Yellow cards,Red Cards,Second Yellow Card leading to Red Card,Fouls Committed
01,A,Russia,Saudi Arabia,home,5-0,W,"",5,0,"","",13,7,3,3,0,6,3,40,78,306,240,118,53,9,3,19,1,0,0,22
01,A,Saudi Arabia,Russia,away,5-0,L,"",0,5,"","",6,0,3,3,0,2,1,60,86,511,442,105,48,16,3,31,1,0,0,10
02,A,Egypt,Uruguay,home,0-1,L,"",0,1,"","",8,3,3,2,0,0,1,43,78,395,308,112,57,12,4,32,2,0,0,12
02,A,Uruguay,Egypt,away,0-1,W,"",1,0,"","",14,4,6,4,1,5,1,57,86,589,508,111,54,8,2,22,0,0,0,6
03,B,Morocco,IR Iran,home,0-1,L,"",0,1,"","",13,3,6,4,0,5,0,64,86,433,371,101,38,9,1,16,1,0,0,22
03,B,IR Iran,Morocco,away,0-1,W,"",1,0,"","",8,2,5,1,0,2,0,36,66,194,129,100,38,14,5,24,3,0,0,14
04,B,Portugal,Spain,home,3-3,D,"",3,3,"","",8,3,2,3,0,4,1,39,87,366,320,102,36,8,2,17,1,0,0,12
04,B,Spain,Portugal,away,3-3,D,"",3,3,"","",12,5,5,2,1,5,3,61,93,727,677,103,28,7,3,9,1,0,0,10
05,C,France,Australia,home,2-1,W,"",2,1,"","",12,5,4,3,0,5,0,51,87,484,423,103,52,6,1,23,1,0,0,16
05,C,Australia,France,away,2-1,L,"",1,2,"","",4,1,2,1,0,1,0,49,85,390,332,111,49,15,3,45,3,0,0,19
06,D,Argentina,Iceland,home,1-1,D,"",1,1,"","",26,7,9,10,0,10,0,72,92,718,657,101,40,8,1,18,0,0,0,10
06,D,Iceland,Argentina,away,1-1,D,"",1,1,"","",9,3,5,1,0,2,0,28,67,189,127,105,35,18,10,36,0,0,0,15
07,C,Peru,Denmark,home,0-1,L,"",0,1,"","",18,6,7,5,0,3,5,52,85,394,334,104,42,12,2,19,1,0,0,10
07,C,Denmark,Peru,away,0-1,W,"",1,0,"","",10,3,5,2,0,7,3,48,82,342,282,110,40,11,5,20,2,0,0,18
08,D,Croatia,Nigeria,home,2-0,W,"",2,0,"","",11,2,7,2,0,6,2,54,84,462,386,104,43,16,7,32,2,0,0,20
08,D,Nigeria,Croatia,away,2-0,L,"",0,2,"","",14,2,5,7,0,5,1,46,84,388,327,101,42,7,2,26,1,0,0,16
09,E,Costa Rica,Serbia,home,0-1,L,"",0,1,"","",10,3,3,4,0,5,1,50,83,428,355,107,38,10,2,30,2,0,0,18
