team,date,attack,defence,full_age,midfield,overall,prestige,start_age
Brazil,15 Jul  2018,87.0,84.0,48.0,86.0,86.0,10.0,48.0
England,15 Jul  2018,83.0,80.0,24.0,81.0,81.0,8.0,24.0
Italy,15 Jul  2018,81.0,82.0,30.0,81.0,82.0,9.0,30.0
Spain,15 Jul  2018,84.0,85.0,32.0,86.0,85.0,9.0,32.0
France,15 Jul  2018,86.0,81.0,61.0,84.0,85.0,9.0,61.0
Germany,15 Jul  2018,85.0,85.0,63.0,85.0,86.0,10.0,63.0
Argentina,15 Jul  2018,86.0,80.0,38.0,81.0,84.0,9.0,38.0
Portugal,15 Jul  2018,85.0,82.0,37.0,83.0,84.0,8.0,37.0
Turkey,15 Jul  2018,79.0,76.0,12.0,77.0,76.0,6.0,12.0
Nigeria,15 Jul  2018,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,15 Jul  2018,77.0,76.0,7.0,79.0,78.0,5.0,7.0
Russia,15 Jul  2018,80.0,77.0,6.0,78.0,79.0,6.0,6.0
Mexico,15 Jul  2018,81.0,75.0,50.0,78.0,79.0,7.0,50.0
Uruguay,15 Jul  2018,86.0,80.0,12.0,77.0,80.0,7.0,12.0
Greece,15 Jul  2018,75.0,77.0,5.0,74.0,75.0,6.0,5.0
Croatia,15 Jul  2018,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,15 Jul  2018,80.0,73.0,2.0,72.0,74.0,5.0,2.0
Serbia,15 Jul  2018,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,15 Jul  2018,69.0,70.0,5.0,72.0,72.0,5.0,5.0
Switzerland,15 Jul  2018,75.0,77.0,6.0,78.0,78.0,5.0,6.0
Sweden,15 Jul  2018,78.0,76.0,8.0,76.0,77.0,5.0,8.0
Republic of Ireland,15 Jul  2018,75.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,15 Jul  2018,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,15 Jul  2018,86.0,84.0,35.0,81.0,83.0,7.0,35.0
United States,15 Jul  2018,76.0,74.0,24.0,76.0,75.0,6.0,24.0
Norway,15 Jul  2018,74.0,72.0,9.0,73.0,73.0,4.0,9.0
Paraguay,15 Jul  2018,75.0,72.0,3.0,74.0,73.0,4.0,3.0
Ukraine,15 Jul  2018,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,15 Jul  2018,83.0,76.0,20.0,78.0,80.0,5.0,20.0
Bulgaria,15 Jul  2018,69.0,67.0,1.0,63.0,67.0,5.0,1.0
Finland,15 Jul  2018,70.0,66.0,7.0,69.0,70.0,3.0,7.0
Scotland,15 Jul  2018,75.0,74.0,8.0,74.0,74.0,4.0,8.0
Romania,15 Jul  2018,74.0,69.0,9.0,71.0,72.0,5.0,9.0
Austria,15 Jul  2018,80.0,74.0,4.0,77.0,76.0,4.0,4.0
Wales,15 Jul  2018,76.0,74.0,12.0,76.0,75.0,4.0,12.0
Slovenia,15 Jul  2018,72.0,73.0,1.0,77.0,76.0,5.0,1.0
Ecuador,15 Jul  2018,74.0,69.0,5.0,69.0,71.0,5.0,5.0
Tunisia,15 Jul  2018,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,15 Jul  2018,74.0,72.0,1.0,73.0,73.0,2.0,1.0
Hungary,15 Jul  2018,71.0,73.0,2.0,72.0,72.0,4.0,2.0
China PR,15 Jul  2018,70.0,69.0,6.0,69.0,69.0,3.0,6.0
Netherlands,15 Jul  2018,80.0,79.0,25.0,79.0,79.0,8.0,25.0
Czech Republic,15 Jul  2018,73.0,72.0,6.0,74.0,73.0,5.0,6.0
South Africa,15 Jul  2018,71.0,70.0,0.0,70.0,71.0,4.0,0.0
New Zealand,15 Jul  2018,71.0,66.0,2.0,70.0,68.0,2.0,2.0
Côte d'Ivoire,15 Jul  2018,76.0,76.0,3.0,75.0,75.0,6.0,3.0
Chile,15 Jul  2018,78.0,77.0,27.0,80.0,78.0,7.0,27.0
Colombia,15 Jul  2018,82.0,77.0,23.0,79.0,79.0,7.0,23.0
Peru,15 Jul  2018,79.0,74.0,14.0,76.0,76.0,3.0,14.0
Egypt,15 Jul  2018,72.0,74.0,8.0,77.0,76.0,5.0,8.0
Venezuela,15 Jul  2018,76.0,72.0,12.0,72.0,73.0,2.0,12.0
Bolivia,15 Jul  2018,67.0,65.0,6.0,68.0,67.0,1.0,6.0
India,15 Jul  2018,62.0,60.0,5.0,60.0,61.0,1.0,5.0
Canada,15 Jul  2018,73.0,65.0,4.0,71.0,68.0,2.0,4.0
Saudi Arabia,15 Jul  2018,72.0,71.0,1.0,71.0,72.0,4.0,1.0
Iceland,15 Jul  2018,75.0,74.0,2.0,78.0,75.0,2.0,2.0
Morocco,15 Jul  2018,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,15 Jul  2018,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,15 Jul  2018,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,15 Jul  2018,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,15 Jul  2018,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,15 Jul  2018,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,12 Jul  2018,87.0,84.0,48.0,86.0,86.0,10.0,48.0
England,12 Jul  2018,83.0,80.0,24.0,81.0,81.0,8.0,24.0
Italy,12 Jul  2018,81.0,82.0,30.0,81.0,82.0,9.0,30.0
Spain,12 Jul  2018,84.0,85.0,32.0,86.0,85.0,9.0,32.0
France,12 Jul  2018,86.0,81.0,61.0,84.0,85.0,9.0,61.0
Germany,12 Jul  2018,85.0,85.0,63.0,85.0,86.0,10.0,63.0
Argentina,12 Jul  2018,86.0,80.0,38.0,81.0,84.0,9.0,38.0
Portugal,12 Jul  2018,85.0,82.0,37.0,83.0,84.0,8.0,37.0
Turkey,12 Jul  2018,79.0,76.0,12.0,77.0,76.0,6.0,12.0
Nigeria,12 Jul  2018,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,12 Jul  2018,77.0,76.0,7.0,79.0,78.0,5.0,7.0
Russia,12 Jul  2018,80.0,77.0,6.0,78.0,79.0,6.0,6.0
Mexico,12 Jul  2018,81.0,75.0,50.0,78.0,79.0,7.0,50.0
Uruguay,12 Jul  2018,86.0,80.0,12.0,77.0,80.0,7.0,12.0
Greece,12 Jul  2018,75.0,77.0,5.0,74.0,75.0,6.0,5.0
Croatia,12 Jul  2018,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,12 Jul  2018,80.0,73.0,2.0,72.0,74.0,5.0,2.0
Serbia,12 Jul  2018,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,12 Jul  2018,69.0,70.0,5.0,72.0,72.0,5.0,5.0
Switzerland,12 Jul  2018,75.0,77.0,6.0,78.0,78.0,5.0,6.0
Sweden,12 Jul  2018,78.0,76.0,8.0,76.0,77.0,5.0,8.0
Republic of Ireland,12 Jul  2018,75.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,12 Jul  2018,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,12 Jul  2018,84.0,84.0,35.0,82.0,83.0,7.0,35.0
United States,12 Jul  2018,76.0,74.0,24.0,76.0,75.0,6.0,24.0
Norway,12 Jul  2018,74.0,72.0,9.0,73.0,73.0,4.0,9.0
Paraguay,12 Jul  2018,75.0,72.0,3.0,74.0,73.0,4.0,3.0
Ukraine,12 Jul  2018,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,12 Jul  2018,83.0,76.0,20.0,78.0,80.0,5.0,20.0
Bulgaria,12 Jul  2018,69.0,67.0,1.0,63.0,67.0,5.0,1.0
Finland,12 Jul  2018,70.0,66.0,7.0,69.0,70.0,3.0,7.0
Scotland,12 Jul  2018,75.0,74.0,8.0,74.0,74.0,4.0,8.0
Romania,12 Jul  2018,74.0,69.0,9.0,71.0,72.0,5.0,9.0
Austria,12 Jul  2018,80.0,74.0,4.0,77.0,76.0,4.0,4.0
Wales,12 Jul  2018,76.0,74.0,12.0,76.0,75.0,4.0,12.0
Slovenia,12 Jul  2018,72.0,73.0,1.0,77.0,76.0,5.0,1.0
Ecuador,12 Jul  2018,74.0,69.0,5.0,69.0,71.0,5.0,5.0
Tunisia,12 Jul  2018,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,12 Jul  2018,74.0,72.0,1.0,73.0,73.0,2.0,1.0
Hungary,12 Jul  2018,71.0,73.0,2.0,72.0,72.0,4.0,2.0
China PR,12 Jul  2018,70.0,69.0,6.0,69.0,69.0,3.0,6.0
Netherlands,12 Jul  2018,80.0,79.0,25.0,79.0,79.0,8.0,25.0
Czech Republic,12 Jul  2018,73.0,72.0,6.0,74.0,73.0,5.0,6.0
South Africa,12 Jul  2018,71.0,70.0,0.0,70.0,71.0,4.0,0.0
New Zealand,12 Jul  2018,71.0,66.0,2.0,70.0,68.0,2.0,2.0
Côte d'Ivoire,12 Jul  2018,76.0,76.0,3.0,75.0,75.0,6.0,3.0
Chile,12 Jul  2018,78.0,77.0,27.0,80.0,78.0,7.0,27.0
Colombia,12 Jul  2018,82.0,77.0,23.0,79.0,79.0,7.0,23.0
Peru,12 Jul  2018,79.0,74.0,14.0,76.0,76.0,3.0,14.0
Egypt,12 Jul  2018,72.0,74.0,8.0,77.0,76.0,5.0,8.0
Venezuela,12 Jul  2018,76.0,72.0,12.0,72.0,73.0,2.0,12.0
Bolivia,12 Jul  2018,67.0,65.0,6.0,68.0,67.0,1.0,6.0
India,12 Jul  2018,62.0,60.0,5.0,60.0,61.0,1.0,5.0
Canada,12 Jul  2018,73.0,65.0,4.0,71.0,68.0,2.0,4.0
Saudi Arabia,12 Jul  2018,72.0,71.0,1.0,71.0,72.0,4.0,1.0
Iceland,12 Jul  2018,75.0,74.0,2.0,78.0,75.0,2.0,2.0
Morocco,12 Jul  2018,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,12 Jul  2018,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,12 Jul  2018,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,12 Jul  2018,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,12 Jul  2018,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,12 Jul  2018,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,11 Jul  2018,87.0,84.0,48.0,86.0,86.0,10.0,48.0
England,11 Jul  2018,83.0,80.0,24.0,81.0,81.0,8.0,24.0
Italy,11 Jul  2018,81.0,82.0,30.0,81.0,82.0,9.0,30.0
Spain,11 Jul  2018,84.0,85.0,32.0,86.0,85.0,9.0,32.0
France,11 Jul  2018,86.0,81.0,61.0,84.0,85.0,9.0,61.0
Germany,11 Jul  2018,85.0,85.0,63.0,85.0,86.0,10.0,63.0
Argentina,11 Jul  2018,86.0,80.0,38.0,81.0,84.0,9.0,38.0
Portugal,11 Jul  2018,85.0,82.0,37.0,83.0,84.0,8.0,37.0
Turkey,11 Jul  2018,79.0,76.0,12.0,77.0,76.0,6.0,12.0
Nigeria,11 Jul  2018,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,11 Jul  2018,77.0,76.0,7.0,79.0,78.0,5.0,7.0
Russia,11 Jul  2018,80.0,77.0,6.0,78.0,79.0,6.0,6.0
Mexico,11 Jul  2018,81.0,75.0,50.0,78.0,79.0,7.0,50.0
Uruguay,11 Jul  2018,86.0,80.0,12.0,77.0,80.0,7.0,12.0
Greece,11 Jul  2018,75.0,77.0,5.0,74.0,75.0,6.0,5.0
Croatia,11 Jul  2018,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,11 Jul  2018,80.0,73.0,2.0,72.0,74.0,5.0,2.0
Serbia,11 Jul  2018,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,11 Jul  2018,69.0,70.0,5.0,72.0,72.0,5.0,5.0
Switzerland,11 Jul  2018,75.0,77.0,6.0,78.0,78.0,5.0,6.0
Sweden,11 Jul  2018,78.0,76.0,8.0,76.0,77.0,5.0,8.0
Republic of Ireland,11 Jul  2018,75.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,11 Jul  2018,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,11 Jul  2018,84.0,84.0,35.0,82.0,83.0,7.0,35.0
United States,11 Jul  2018,76.0,74.0,24.0,76.0,75.0,6.0,24.0
Norway,11 Jul  2018,74.0,72.0,9.0,73.0,73.0,4.0,9.0
Paraguay,11 Jul  2018,75.0,72.0,3.0,74.0,73.0,4.0,3.0
Ukraine,11 Jul  2018,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,11 Jul  2018,83.0,76.0,20.0,78.0,80.0,5.0,20.0
Bulgaria,11 Jul  2018,69.0,67.0,1.0,63.0,67.0,5.0,1.0
Finland,11 Jul  2018,70.0,66.0,7.0,69.0,70.0,3.0,7.0
Scotland,11 Jul  2018,75.0,74.0,8.0,74.0,74.0,4.0,8.0
Romania,11 Jul  2018,74.0,69.0,9.0,71.0,72.0,5.0,9.0
Austria,11 Jul  2018,80.0,74.0,4.0,77.0,76.0,4.0,4.0
Wales,11 Jul  2018,76.0,74.0,12.0,76.0,75.0,4.0,12.0
Slovenia,11 Jul  2018,72.0,73.0,1.0,77.0,76.0,5.0,1.0
Ecuador,11 Jul  2018,74.0,69.0,5.0,69.0,71.0,5.0,5.0
Tunisia,11 Jul  2018,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,11 Jul  2018,74.0,72.0,1.0,73.0,73.0,2.0,1.0
Hungary,11 Jul  2018,71.0,73.0,2.0,72.0,72.0,4.0,2.0
China PR,11 Jul  2018,70.0,69.0,6.0,69.0,69.0,3.0,6.0
Netherlands,11 Jul  2018,80.0,79.0,25.0,79.0,79.0,8.0,25.0
Czech Republic,11 Jul  2018,73.0,72.0,6.0,74.0,73.0,5.0,6.0
South Africa,11 Jul  2018,71.0,70.0,0.0,70.0,71.0,4.0,0.0
New Zealand,11 Jul  2018,71.0,66.0,2.0,70.0,68.0,2.0,2.0
Côte d'Ivoire,11 Jul  2018,76.0,76.0,3.0,75.0,75.0,6.0,3.0
Chile,11 Jul  2018,78.0,77.0,27.0,80.0,78.0,7.0,27.0
Colombia,11 Jul  2018,82.0,77.0,23.0,79.0,79.0,7.0,23.0
Peru,11 Jul  2018,79.0,74.0,14.0,76.0,76.0,3.0,14.0
Egypt,11 Jul  2018,72.0,74.0,8.0,77.0,76.0,5.0,8.0
Venezuela,11 Jul  2018,76.0,72.0,12.0,72.0,73.0,2.0,12.0
Bolivia,11 Jul  2018,67.0,65.0,6.0,68.0,67.0,1.0,6.0
India,11 Jul  2018,62.0,60.0,5.0,60.0,61.0,1.0,5.0
Canada,11 Jul  2018,73.0,65.0,4.0,71.0,68.0,2.0,4.0
Saudi Arabia,11 Jul  2018,72.0,71.0,1.0,71.0,72.0,4.0,1.0
Iceland,11 Jul  2018,75.0,74.0,2.0,78.0,75.0,2.0,2.0
Morocco,11 Jul  2018,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,11 Jul  2018,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,11 Jul  2018,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,11 Jul  2018,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,11 Jul  2018,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,11 Jul  2018,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,08 Jul  2018,87.0,84.0,48.0,86.0,86.0,10.0,48.0
England,08 Jul  2018,83.0,80.0,24.0,81.0,81.0,8.0,24.0
Italy,08 Jul  2018,81.0,82.0,30.0,81.0,82.0,9.0,30.0
Spain,08 Jul  2018,84.0,85.0,32.0,86.0,85.0,9.0,32.0
France,08 Jul  2018,86.0,81.0,61.0,84.0,85.0,9.0,61.0
Germany,08 Jul  2018,85.0,85.0,63.0,85.0,86.0,10.0,63.0
Argentina,08 Jul  2018,86.0,80.0,38.0,81.0,84.0,9.0,38.0
Portugal,08 Jul  2018,85.0,82.0,37.0,83.0,84.0,8.0,37.0
Turkey,08 Jul  2018,79.0,76.0,12.0,77.0,76.0,6.0,12.0
Nigeria,08 Jul  2018,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,08 Jul  2018,77.0,76.0,7.0,79.0,78.0,5.0,7.0
Russia,08 Jul  2018,80.0,77.0,6.0,78.0,79.0,6.0,6.0
Mexico,08 Jul  2018,81.0,75.0,50.0,78.0,79.0,7.0,50.0
Uruguay,08 Jul  2018,86.0,80.0,12.0,77.0,80.0,7.0,12.0
Greece,08 Jul  2018,75.0,77.0,5.0,74.0,75.0,6.0,5.0
Croatia,08 Jul  2018,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,08 Jul  2018,80.0,73.0,2.0,72.0,74.0,5.0,2.0
Serbia,08 Jul  2018,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,08 Jul  2018,69.0,70.0,5.0,72.0,72.0,5.0,5.0
Switzerland,08 Jul  2018,75.0,77.0,6.0,78.0,78.0,5.0,6.0
Sweden,08 Jul  2018,78.0,76.0,8.0,76.0,77.0,5.0,8.0
Republic of Ireland,08 Jul  2018,75.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,08 Jul  2018,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,08 Jul  2018,86.0,83.0,35.0,81.0,83.0,7.0,35.0
United States,08 Jul  2018,76.0,74.0,24.0,76.0,75.0,6.0,24.0
Norway,08 Jul  2018,74.0,72.0,9.0,73.0,73.0,4.0,9.0
Paraguay,08 Jul  2018,75.0,72.0,3.0,74.0,73.0,4.0,3.0
Ukraine,08 Jul  2018,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,08 Jul  2018,83.0,76.0,20.0,78.0,80.0,5.0,20.0
Bulgaria,08 Jul  2018,69.0,67.0,1.0,63.0,67.0,5.0,1.0
Finland,08 Jul  2018,70.0,66.0,7.0,69.0,70.0,3.0,7.0
Scotland,08 Jul  2018,75.0,74.0,8.0,74.0,74.0,4.0,8.0
Romania,08 Jul  2018,74.0,69.0,9.0,71.0,72.0,5.0,9.0
Austria,08 Jul  2018,80.0,74.0,4.0,77.0,76.0,4.0,4.0
Wales,08 Jul  2018,76.0,74.0,12.0,76.0,75.0,4.0,12.0
Slovenia,08 Jul  2018,72.0,73.0,1.0,77.0,76.0,5.0,1.0
Ecuador,08 Jul  2018,74.0,69.0,5.0,69.0,71.0,5.0,5.0
Tunisia,08 Jul  2018,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,08 Jul  2018,74.0,72.0,1.0,73.0,73.0,2.0,1.0
Hungary,08 Jul  2018,71.0,73.0,2.0,72.0,72.0,4.0,2.0
China PR,08 Jul  2018,70.0,69.0,6.0,69.0,69.0,3.0,6.0
Netherlands,08 Jul  2018,80.0,79.0,25.0,79.0,79.0,8.0,25.0
Czech Republic,08 Jul  2018,73.0,72.0,6.0,74.0,73.0,5.0,6.0
South Africa,08 Jul  2018,71.0,70.0,0.0,70.0,71.0,4.0,0.0
New Zealand,08 Jul  2018,71.0,66.0,2.0,70.0,68.0,2.0,2.0
Côte d'Ivoire,08 Jul  2018,76.0,76.0,3.0,75.0,75.0,6.0,3.0
Chile,08 Jul  2018,78.0,77.0,27.0,80.0,78.0,7.0,27.0
Colombia,08 Jul  2018,82.0,77.0,23.0,79.0,79.0,7.0,23.0
Peru,08 Jul  2018,79.0,74.0,14.0,76.0,76.0,3.0,14.0
Egypt,08 Jul  2018,72.0,74.0,8.0,77.0,76.0,5.0,8.0
Venezuela,08 Jul  2018,76.0,72.0,12.0,72.0,73.0,2.0,12.0
Bolivia,08 Jul  2018,67.0,65.0,6.0,68.0,67.0,1.0,6.0
India,08 Jul  2018,62.0,60.0,5.0,60.0,61.0,1.0,5.0
Canada,08 Jul  2018,73.0,65.0,4.0,71.0,68.0,2.0,4.0
Saudi Arabia,08 Jul  2018,72.0,71.0,1.0,71.0,72.0,4.0,1.0
Iceland,08 Jul  2018,75.0,74.0,2.0,78.0,75.0,2.0,2.0
Morocco,08 Jul  2018,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,08 Jul  2018,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,08 Jul  2018,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,08 Jul  2018,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,08 Jul  2018,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,08 Jul  2018,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,07 Jul  2018,87.0,84.0,48.0,86.0,86.0,10.0,48.0
England,07 Jul  2018,83.0,80.0,24.0,81.0,81.0,8.0,24.0
Italy,07 Jul  2018,81.0,82.0,30.0,81.0,82.0,9.0,30.0
Spain,07 Jul  2018,84.0,85.0,32.0,86.0,85.0,9.0,32.0
France,07 Jul  2018,86.0,81.0,61.0,84.0,85.0,9.0,61.0
Germany,07 Jul  2018,85.0,85.0,63.0,85.0,86.0,10.0,63.0
Argentina,07 Jul  2018,86.0,80.0,38.0,81.0,84.0,9.0,38.0
Portugal,07 Jul  2018,85.0,82.0,37.0,83.0,84.0,8.0,37.0
Turkey,07 Jul  2018,79.0,76.0,12.0,77.0,76.0,6.0,12.0
Nigeria,07 Jul  2018,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,07 Jul  2018,77.0,76.0,7.0,79.0,78.0,5.0,7.0
Russia,07 Jul  2018,80.0,77.0,6.0,78.0,79.0,6.0,6.0
Mexico,07 Jul  2018,81.0,75.0,50.0,78.0,79.0,7.0,50.0
Uruguay,07 Jul  2018,86.0,80.0,12.0,77.0,80.0,7.0,12.0
